backend,dpr,scenario,kind,samples,physicalCoverage,peakChannelDelta,maxAlignmentError,physicalBoundsThickness
gpu,1.0,anchors,hn,120,1,80,0,1
gpu,1.0,anchors,rawSolid,120,1,80,0.5,1
gpu,1.0,anchors,rawGradient,120,1,80,0.5,1
gpu,1.0,anchors,alignedSolid,120,1,80,0,1
gpu,1.0,anchors,alignedGradient,120,1,80,0,1
gpu,1.0,clip,hn,480,0|1,0|73|80,0,1
gpu,1.0,clip,rawSolid,480,0|1,0|80,0.5,1
gpu,1.0,clip,rawGradient,480,0|1,0|73|80,0.5,1
gpu,1.0,clip,alignedSolid,480,0|1,0|80,0,1
gpu,1.0,clip,alignedGradient,480,0|1,0|73|80,0,1
gpu,1.0,layout,hn,120,1,80,0,1
gpu,1.0,layout,rawSolid,120,1,80,0,1
gpu,1.0,layout,rawGradient,120,1,80,0,1
gpu,1.0,layout,alignedSolid,120,1,80,0,1
gpu,1.0,layout,alignedGradient,120,1,80,0,1
gpu,1.0,mode,hn,120,1,73|80,0,1
gpu,1.0,mode,rawSolid,120,1,80,0.5,1
gpu,1.0,mode,rawGradient,120,1,80,0.5,1
gpu,1.0,mode,alignedSolid,120,1,80,0,1
gpu,1.0,mode,alignedGradient,120,1,80,0,1
gpu,1.0,move,hn,120,1,80,0,1
gpu,1.0,move,rawSolid,120,1,80,0.5,1
gpu,1.0,move,rawGradient,120,1,80,0.5,1
gpu,1.0,move,alignedSolid,120,1,80,0,1
gpu,1.0,move,alignedGradient,120,1,80,0,1
gpu,1.0,normalized,hn,480,1,73|80,0,1
gpu,1.0,normalized,rawSolid,480,1,80,0.5,1
gpu,1.0,normalized,rawGradient,480,1,73|80,0.5,1
gpu,1.0,normalized,alignedSolid,480,1,80,0,1
gpu,1.0,normalized,alignedGradient,480,1,73|80,0,1
gpu,1.0,reduced,plain,3,1,112,0,1
gpu,1.0,reduced,aa,3,1,112,0,1
gpu,1.0,reduced,gradient,3,1,112,0,1
gpu,1.0,reduced,scale,3,1,112,0,1
gpu,1.0,reduced,scaleGradient,3,1,112,0,1
gpu,1.0,reparent,hn,120,1,80,0,1
gpu,1.0,reparent,rawSolid,120,1,80,0.5,1
gpu,1.0,reparent,rawGradient,120,1,80,0.5,1
gpu,1.0,reparent,alignedSolid,120,1,80,0,1
gpu,1.0,reparent,alignedGradient,120,1,80,0,1
gpu,1.0,resize,hn,120,1,80,0.29218750000001137,1.25
gpu,1.0,resize,rawSolid,120,1|2,80,0.48750000000001137,1.25
gpu,1.0,resize,rawGradient,120,1|2,80,0.48750000000001137,1.25
gpu,1.0,resize,alignedSolid,120,1,80,0.29218750000001137,1.25
gpu,1.0,resize,alignedGradient,120,1,80,0.29218750000001137,1.25
gpu,1.0,scale,hn,120,1,80,0.1171875,1.25
gpu,1.0,scale,rawSolid,120,1|2,80,0.46875,1.25
gpu,1.0,scale,rawGradient,120,1|2,80,0.46875,1.25
gpu,1.0,scale,alignedSolid,120,1,80,0.1171875,1.25
gpu,1.0,scale,alignedGradient,120,1,80,0.1171875,1.25
gpu,1.0,scalechange,hn,120,1|2,80,0.5,1|1.5|2
gpu,1.0,scalechange,rawSolid,120,1|2,80,0.5,1|1.5|2
gpu,1.0,scalechange,rawGradient,120,1|2,80,0.5,1|1.5|2
gpu,1.0,scalechange,alignedSolid,120,1|2,80,0.5,1|1.5|2
gpu,1.0,scalechange,alignedGradient,120,1|2,80,0.5,1|1.5|2
gpu,1.0,simple,hn,480,1,73|80,0,1
gpu,1.0,simple,rawSolid,480,1,80,0.5,1
gpu,1.0,simple,rawGradient,480,1,73|80,0.5,1
gpu,1.0,simple,alignedSolid,480,1,80,0,1
gpu,1.0,simple,alignedGradient,480,1,73|80,0,1
gpu,1.0,transform,hn,120,1,80,0.46002197265625,1
gpu,1.0,transform,rawSolid,120,1,80,0.5,1
gpu,1.0,transform,rawGradient,120,1,80,0.5,1
gpu,1.0,transform,alignedSolid,120,1,80,0.46002197265625,1
gpu,1.0,transform,alignedGradient,120,1,80,0.46002197265625,1
gpu,1.25,anchors,hn,132,1,80,0,1.0
gpu,1.25,anchors,rawSolid,132,1|2,80,0.5,1.25
